cat0	cat1	size0	size1	conn
receptor	receptor	1961	1961	3421
receptor	extracellular_enzyme	1961	2303	7750
receptor	ligand	1961	837	8123
receptor	ecm	1961	1713	2270
receptor	tight_junction	1961	131	399
receptor	gap_junction	1961	33	22
receptor	transporter	1961	671	443
receptor	surface_enzyme	1961	1106	4479
receptor	adhesion	1961	1409	8449
receptor	growth_factor_regulator	1961	120	2647
receptor	growth_factor_binder	1961	67	758
receptor	surface_ligand	1961	115	1835
extracellular_enzyme	extracellular_enzyme	2303	2303	4788
extracellular_enzyme	ligand	2303	837	7017
extracellular_enzyme	ecm	2303	1713	2224
extracellular_enzyme	tight_junction	2303	131	444
extracellular_enzyme	gap_junction	2303	33	26
extracellular_enzyme	transporter	2303	671	456
extracellular_enzyme	surface_enzyme	2303	1106	4563
extracellular_enzyme	adhesion	2303	1409	8487
extracellular_enzyme	growth_factor_regulator	2303	120	2340
extracellular_enzyme	growth_factor_binder	2303	67	974
extracellular_enzyme	surface_ligand	2303	115	1702
ligand	ligand	837	837	1369
ligand	ecm	837	1713	1131
ligand	tight_junction	837	131	224
ligand	gap_junction	837	33	11
ligand	transporter	837	671	379
ligand	surface_enzyme	837	1106	1454
ligand	adhesion	837	1409	4875
ligand	growth_factor_regulator	837	120	544
ligand	growth_factor_binder	837	67	761
ligand	surface_ligand	837	115	443
ecm	ecm	1713	1713	1416
ecm	tight_junction	1713	131	134
ecm	gap_junction	1713	33	10
ecm	transporter	1713	671	145
ecm	surface_enzyme	1713	1106	756
ecm	adhesion	1713	1409	2447
ecm	growth_factor_regulator	1713	120	211
ecm	growth_factor_binder	1713	67	435
ecm	surface_ligand	1713	115	183
tight_junction	tight_junction	131	131	206
tight_junction	gap_junction	131	33	57
tight_junction	transporter	131	671	82
tight_junction	surface_enzyme	131	1106	582
tight_junction	adhesion	131	1409	922
tight_junction	growth_factor_regulator	131	120	58
tight_junction	growth_factor_binder	131	67	36
tight_junction	surface_ligand	131	115	50
gap_junction	gap_junction	33	33	22
gap_junction	transporter	33	671	30
gap_junction	surface_enzyme	33	1106	46
gap_junction	adhesion	33	1409	129
gap_junction	growth_factor_regulator	33	120	0
gap_junction	growth_factor_binder	33	67	2
gap_junction	surface_ligand	33	115	1
transporter	transporter	671	671	171
transporter	surface_enzyme	671	1106	853
transporter	adhesion	671	1409	854
transporter	growth_factor_regulator	671	120	41
transporter	growth_factor_binder	671	67	51
transporter	surface_ligand	671	115	37
surface_enzyme	surface_enzyme	1106	1106	2320
surface_enzyme	adhesion	1106	1409	6500
surface_enzyme	growth_factor_regulator	1106	120	161
surface_enzyme	growth_factor_binder	1106	67	480
surface_enzyme	surface_ligand	1106	115	202
adhesion	adhesion	1409	1409	6475
adhesion	growth_factor_regulator	1409	120	1218
adhesion	growth_factor_binder	1409	67	1126
adhesion	surface_ligand	1409	115	1003
growth_factor_regulator	growth_factor_regulator	120	120	80
growth_factor_regulator	growth_factor_binder	120	67	269
growth_factor_regulator	surface_ligand	120	115	78
growth_factor_binder	growth_factor_binder	67	67	71
growth_factor_binder	surface_ligand	67	115	195
surface_ligand	surface_ligand	115	115	26
